Gene,_SCORE_GRP2_,_SCORE_GRP1_,GRP1|6_R-HSA-556833|-2.803|Metabolism of lipids,GRP1|6_R-HSA-1483206|-3.350|Glycerophospholipid biosynthesis,GRP1|6_R-HSA-1483166|-4.868|Synthesis of PA,GRP1|6_R-HSA-1483257|-2.727|Phospholipid metabolism,GRP2|6_R-HSA-6798695|-2.656|Neutrophil degranulation,_SORT_,_SORT_GRP1_,_SORT_GRP2_
79888,1.0,1.0,0.1,0.2,0.3,0.1,0.1,1,2,2
51,0.0,0.25,0.1,0.0,0.0,0.0,0.0,8,5,0
56894,0.0,1.0,0.1,0.2,0.3,0.1,0.0,6,1,0
1992,1.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,1
3326,1.0,0.0,0.0,0.0,0.0,0.0,0.1,2,0,3
1315,1.0,0.0,0.0,0.0,0.0,0.0,0.1,4,0,4
51228,0.0,0.25,0.1,0.0,0.0,0.0,0.0,7,4,0
51205,0.0,1.0,0.1,0.2,0.3,0.1,0.0,5,3,0
