_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.9,R-HSA-1483166,Synthesis of PA,M1,1,0
1,-2.8,R-HSA-556833,Metabolism of lipids,M1,1,0
1,-2.7,R-HSA-1483257,Phospholipid metabolism,M1,1,0
1,-2.7,R-HSA-6798695,Neutrophil degranulation,M1,1,0
1,-3.3,R-HSA-1483206,Glycerophospholipid biosynthesis,M1,1,0
