Accuracy_LR,Accuracy_SVM,Accuracy_RF,Accuracy_Voting,Accuracy_Stacking,Balanced_Accuracy_LR,Balanced_Accuracy_SVM,Balanced_Accuracy_RF,Balanced_Accuracy_Voting,Balanced_Accuracy_Stacking,Precision_LR,Precision_SVM,Precision_RF,Precision_Voting,Precision_Stacking,Recall_LR,Recall_SVM,Recall_RF,Recall_Voting,Recall_Stacking,F1_LR,F1_SVM,F1_RF,F1_Voting,F1_Stacking,ROC_AUC_LR,ROC_AUC_SVM,ROC_AUC_RF,ROC_AUC_Voting,ROC_AUC_Stacking,MCC_LR,MCC_SVM,MCC_RF,MCC_Voting,MCC_Stacking
[0.92307692 0.84615385 0.91666667 0.91666667 1.        ],[1.         0.76923077 0.91666667 0.91666667 0.91666667],[0.92307692 0.84615385 0.91666667 0.91666667 1.        ],[1.         0.84615385 0.91666667 0.91666667 1.        ],[1.         0.84615385 0.91666667 0.91666667 1.        ],[0.9    0.875  0.9375 0.875  1.    ],[1.     0.775  0.9375 0.875  0.875 ],[0.9    0.875  0.9375 0.875  1.    ],[1.     0.875  0.9375 0.875  1.    ],[1.     0.875  0.9375 0.875  1.    ],[0.88888889 1.         1.         0.88888889 1.        ],[1.         0.85714286 1.         0.88888889 0.88888889],[0.88888889 1.         1.         0.88888889 1.        ],[1.         1.         1.         0.88888889 1.        ],[1.         1.         1.         0.88888889 1.        ],[1.    0.75  0.875 1.    1.   ],[1.    0.75  0.875 1.    1.   ],[1.    0.75  0.875 1.    1.   ],[1.    0.75  0.875 1.    1.   ],[1.    0.75  0.875 1.    1.   ],[0.94117647 0.85714286 0.93333333 0.94117647 1.        ],[1.         0.8        0.93333333 0.94117647 0.94117647],[0.94117647 0.85714286 0.93333333 0.94117647 1.        ],[1.         0.85714286 0.93333333 0.94117647 1.        ],[1.         0.85714286 0.93333333 0.94117647 1.        ],[1.      1.      0.96875 0.96875 1.     ],[1.    0.925 1.    1.    1.   ],[1.    0.85  0.875 1.    1.   ],[1.      0.95    0.90625 1.      1.     ],[1.      0.95    0.96875 0.96875 1.     ],[0.84327404 0.73192505 0.83666003 0.81649658 1.        ],[1.         0.53674504 0.83666003 0.81649658 0.81649658],[0.84327404 0.73192505 0.83666003 0.81649658 1.        ],[1.         0.73192505 0.83666003 0.81649658 1.        ],[1.         0.73192505 0.83666003 0.81649658 1.        ]
[0.92307692 0.84615385 1.         0.83333333 1.        ],[1.         0.76923077 1.         0.75       0.91666667],[0.84615385 0.76923077 0.91666667 0.83333333 0.91666667],[0.92307692 0.84615385 1.         0.83333333 0.91666667],[0.92307692 0.84615385 1.         0.83333333 0.91666667],[0.9375 0.8    1.     0.8125 1.    ],[1.     0.7    1.     0.6875 0.9375],[0.875  0.7    0.875  0.8125 0.9375],[0.9375 0.8    1.     0.8125 0.9375],[0.9375 0.8    1.     0.8125 0.9375],[1.    0.8   1.    0.875 1.   ],[1.         0.72727273 1.         0.77777778 1.        ],[1.         0.72727273 0.88888889 0.875      1.        ],[1.    0.8   1.    0.875 1.   ],[1.    0.8   1.    0.875 1.   ],[0.875 1.    1.    0.875 1.   ],[1.    1.    1.    0.875 0.875],[0.75  1.    1.    0.875 0.875],[0.875 1.    1.    0.875 0.875],[0.875 1.    1.    0.875 0.875],[0.93333333 0.88888889 1.         0.875      1.        ],[1.         0.84210526 1.         0.82352941 0.93333333],[0.85714286 0.84210526 0.94117647 0.875      0.93333333],[0.93333333 0.88888889 1.         0.875      0.93333333],[0.93333333 0.88888889 1.         0.875      0.93333333],[1.      1.      1.      0.96875 1.     ],[1.     0.975  1.     0.9375 1.    ],[0.9625  0.975   0.96875 0.9375  1.     ],[1.      1.      1.      0.96875 1.     ],[1.      1.      1.      0.96875 1.     ],[0.85391256 0.69282032 1.         0.625      1.        ],[1.         0.53935989 1.         0.40824829 0.83666003],[0.73192505 0.53935989 0.81649658 0.625      0.83666003],[0.85391256 0.69282032 1.         0.625      0.83666003],[0.85391256 0.69282032 1.         0.625      0.83666003]
[0.92307692 0.92307692 0.91666667 1.         0.91666667],[0.92307692 0.92307692 0.83333333 1.         1.        ],[0.84615385 0.84615385 0.91666667 0.91666667 0.91666667],[0.92307692 0.92307692 0.91666667 1.         0.91666667],[0.92307692 0.92307692 0.83333333 1.         0.91666667],[0.9    0.9    0.9375 1.     0.9375],[0.9    0.9    0.8125 1.     1.    ],[0.8375 0.8375 0.9375 0.9375 0.9375],[0.9    0.9    0.9375 1.     0.9375],[0.9    0.9    0.8125 1.     0.9375],[0.88888889 0.88888889 1.         1.         1.        ],[0.88888889 0.88888889 0.875      1.         1.        ],[0.875 0.875 1.    1.    1.   ],[0.88888889 0.88888889 1.         1.         1.        ],[0.88888889 0.88888889 0.875      1.         1.        ],[1.    1.    0.875 1.    0.875],[1.    1.    0.875 1.    1.   ],[0.875 0.875 0.875 0.875 0.875],[1.    1.    0.875 1.    0.875],[1.    1.    0.875 1.    0.875],[0.94117647 0.94117647 0.93333333 1.         0.93333333],[0.94117647 0.94117647 0.875      1.         1.        ],[0.875      0.875      0.93333333 0.93333333 0.93333333],[0.94117647 0.94117647 0.93333333 1.         0.93333333],[0.94117647 0.94117647 0.875      1.         0.93333333],[1.    0.975 1.    1.    1.   ],[1.      0.975   0.90625 1.      1.     ],[0.95    0.9375  0.90625 0.96875 0.9375 ],[1.      0.975   0.90625 1.      1.     ],[1.     0.975  0.9375 1.     1.    ],[0.84327404 0.84327404 0.83666003 1.         0.83666003],[0.84327404 0.84327404 0.625      1.         1.        ],[0.675      0.675      0.83666003 0.83666003 0.83666003],[0.84327404 0.84327404 0.83666003 1.         0.83666003],[0.84327404 0.84327404 0.625      1.         0.83666003]
[0.92307692 1.         0.83333333 1.         1.        ],[0.92307692 0.92307692 0.83333333 1.         0.83333333],[0.92307692 0.84615385 0.83333333 1.         1.        ],[0.92307692 0.92307692 0.83333333 1.         0.91666667],[0.92307692 0.92307692 0.83333333 1.         0.91666667],[0.9375 1.     0.8125 1.     1.    ],[0.9375 0.9375 0.8125 1.     0.75  ],[0.9375 0.875  0.8125 1.     1.    ],[0.9375 0.9375 0.8125 1.     0.875 ],[0.9375 0.9375 0.8125 1.     0.875 ],[1.    1.    0.875 1.    1.   ],[1.    1.    0.875 1.    0.8  ],[1.    1.    0.875 1.    1.   ],[1.         1.         0.875      1.         0.88888889],[1.         1.         0.875      1.         0.88888889],[0.875 1.    0.875 1.    1.   ],[0.875 0.875 0.875 1.    1.   ],[0.875 0.75  0.875 1.    1.   ],[0.875 0.875 0.875 1.    1.   ],[0.875 0.875 0.875 1.    1.   ],[0.93333333 1.         0.875      1.         1.        ],[0.93333333 0.93333333 0.875      1.         0.88888889],[0.93333333 0.85714286 0.875      1.         1.        ],[0.93333333 0.93333333 0.875      1.         0.94117647],[0.93333333 0.93333333 0.875      1.         0.94117647],[1.      1.      0.96875 1.      1.     ],[1.      1.      0.96875 1.      1.     ],[0.95    1.      0.90625 1.      1.     ],[1.      1.      0.96875 1.      1.     ],[1.      1.      0.96875 1.      1.     ],[0.85391256 1.         0.625      1.         1.        ],[0.85391256 0.85391256 0.625      1.         0.63245553],[0.85391256 0.73192505 0.625      1.         1.        ],[0.85391256 0.85391256 0.625      1.         0.81649658],[0.85391256 0.85391256 0.625      1.         0.81649658]
[1.         1.         0.75       0.83333333 1.        ],[0.92307692 1.         0.83333333 0.83333333 1.        ],[0.92307692 0.76923077 0.75       0.75       1.        ],[0.92307692 1.         0.75       0.83333333 1.        ],[0.92307692 1.         0.75       0.83333333 1.        ],[1.     1.     0.8125 0.75   1.    ],[0.9   1.    0.875 0.75  1.   ],[0.9    0.775  0.8125 0.625  1.    ],[0.9    1.     0.8125 0.75   1.    ],[0.9    1.     0.8125 0.75   1.    ],[1.  1.  1.  0.8 1. ],[0.88888889 1.         1.         0.8        1.        ],[0.88888889 0.85714286 1.         0.72727273 1.        ],[0.88888889 1.         1.         0.8        1.        ],[0.88888889 1.         1.         0.8        1.        ],[1.    1.    0.625 1.    1.   ],[1.   1.   0.75 1.   1.  ],[1.    0.75  0.625 1.    1.   ],[1.    1.    0.625 1.    1.   ],[1.    1.    0.625 1.    1.   ],[1.         1.         0.76923077 0.88888889 1.        ],[0.94117647 1.         0.85714286 0.88888889 1.        ],[0.94117647 0.8        0.76923077 0.84210526 1.        ],[0.94117647 1.         0.76923077 0.88888889 1.        ],[0.94117647 1.         0.76923077 0.88888889 1.        ],[1. 1. 1. 1. 1.],[1.    1.    0.875 1.    1.   ],[1.      0.875   1.      0.96875 1.     ],[1. 1. 1. 1. 1.],[1. 1. 1. 1. 1.],[1.         1.         0.5976143  0.63245553 1.        ],[0.84327404 1.         0.70710678 0.63245553 1.        ],[0.84327404 0.53674504 0.5976143  0.42640143 1.        ],[0.84327404 1.         0.5976143  0.63245553 1.        ],[0.84327404 1.         0.5976143  0.63245553 1.        ]
[1.         0.92307692 0.83333333 0.83333333 0.91666667],[1.         0.92307692 0.83333333 1.         0.91666667],[1.         0.92307692 0.83333333 0.91666667 1.        ],[1.         0.92307692 0.83333333 0.91666667 1.        ],[1.         0.92307692 0.83333333 0.83333333 0.91666667],[1.     0.9375 0.8125 0.8125 0.875 ],[1.     0.9375 0.8125 1.     0.875 ],[1.     0.9375 0.8125 0.9375 1.    ],[1.     0.9375 0.8125 0.9375 1.    ],[1.     0.9375 0.8125 0.8125 0.875 ],[1.         1.         0.875      0.875      0.88888889],[1.         1.         0.875      1.         0.88888889],[1.    1.    0.875 1.    1.   ],[1.    1.    0.875 1.    1.   ],[1.         1.         0.875      0.875      0.88888889],[1.    0.875 0.875 0.875 1.   ],[1.    0.875 0.875 1.    1.   ],[1.    0.875 0.875 0.875 1.   ],[1.    0.875 0.875 0.875 1.   ],[1.    0.875 0.875 0.875 1.   ],[1.         0.93333333 0.875      0.875      0.94117647],[1.         0.93333333 0.875      1.         0.94117647],[1.         0.93333333 0.875      0.93333333 1.        ],[1.         0.93333333 0.875      0.93333333 1.        ],[1.         0.93333333 0.875      0.875      0.94117647],[1.      1.      0.9375  0.96875 1.     ],[1.     1.     0.9375 1.     1.    ],[1.       0.9125   0.890625 0.90625  1.      ],[1.      1.      0.9375  0.96875 1.     ],[1.      1.      0.9375  0.96875 1.     ],[1.         0.85391256 0.625      0.625      0.81649658],[1.         0.85391256 0.625      1.         0.81649658],[1.         0.85391256 0.625      0.83666003 1.        ],[1.         0.85391256 0.625      0.83666003 1.        ],[1.         0.85391256 0.625      0.625      0.81649658]
[0.92307692 0.84615385 1.         0.91666667 0.83333333],[1.         0.92307692 1.         0.83333333 0.91666667],[0.84615385 0.76923077 1.         0.83333333 0.91666667],[0.92307692 0.84615385 1.         0.91666667 0.91666667],[0.92307692 0.84615385 1.         0.91666667 0.83333333],[0.9375 0.8375 1.     0.875  0.8125],[1.     0.9375 1.     0.75   0.875 ],[0.8375 0.7375 1.     0.75   0.9375],[0.9375 0.8375 1.     0.875  0.9375],[0.9375 0.8375 1.     0.875  0.8125],[1.         0.875      1.         0.88888889 0.875     ],[1.         1.         1.         0.8        0.88888889],[0.875      0.77777778 1.         0.8        1.        ],[1.         0.875      1.         0.88888889 1.        ],[1.         0.875      1.         0.88888889 0.875     ],[0.875 0.875 1.    1.    0.875],[1.    0.875 1.    1.    1.   ],[0.875 0.875 1.    1.    0.875],[0.875 0.875 1.    1.    0.875],[0.875 0.875 1.    1.    0.875],[0.93333333 0.875      1.         0.94117647 0.875     ],[1.         0.93333333 1.         0.88888889 0.94117647],[0.875      0.82352941 1.         0.88888889 0.93333333],[0.93333333 0.875      1.         0.94117647 0.93333333],[0.93333333 0.875      1.         0.94117647 0.875     ],[1.      0.95    1.      1.      0.90625],[1.  0.9 1.  1.  1. ],[0.975    0.875    1.       0.984375 0.9375  ],[1.      0.925   1.      1.      0.96875],[1.      0.95    1.      1.      0.96875],[0.85391256 0.675      1.         0.81649658 0.625     ],[1.         0.85391256 1.         0.63245553 0.81649658],[0.675      0.50069396 1.         0.63245553 0.83666003],[0.85391256 0.675      1.         0.81649658 0.83666003],[0.85391256 0.675      1.         0.81649658 0.625     ]
[1.         1.         0.91666667 1.         1.        ],[1.         1.         0.91666667 0.75       1.        ],[0.84615385 1.         0.83333333 0.91666667 1.        ],[0.92307692 1.         0.83333333 0.91666667 1.        ],[0.92307692 1.         0.91666667 0.83333333 1.        ],[1.    1.    0.875 1.    1.   ],[1.     1.     0.875  0.6875 1.    ],[0.8375 1.     0.8125 0.9375 1.    ],[0.9375 1.     0.8125 0.9375 1.    ],[0.9375 1.     0.875  0.8125 1.    ],[1.         1.         0.88888889 1.         1.        ],[1.         1.         0.88888889 0.77777778 1.        ],[0.875 1.    0.875 1.    1.   ],[1.    1.    0.875 1.    1.   ],[1.         1.         0.88888889 0.875      1.        ],[1. 1. 1. 1. 1.],[1.    1.    1.    0.875 1.   ],[0.875 1.    0.875 0.875 1.   ],[0.875 1.    0.875 0.875 1.   ],[0.875 1.    1.    0.875 1.   ],[1.         1.         0.94117647 1.         1.        ],[1.         1.         0.94117647 0.82352941 1.        ],[0.875      1.         0.875      0.93333333 1.        ],[0.93333333 1.         0.875      0.93333333 1.        ],[0.93333333 1.         0.94117647 0.875      1.        ],[1.      1.      0.96875 1.      1.     ],[1.      1.      0.96875 0.875   1.     ],[0.95    1.      0.9375  0.90625 1.     ],[1.      1.      0.96875 0.96875 1.     ],[1.      1.      0.96875 0.9375  1.     ],[1.         1.         0.81649658 1.         1.        ],[1.         1.         0.81649658 0.40824829 1.        ],[0.675      1.         0.625      0.83666003 1.        ],[0.85391256 1.         0.625      0.83666003 1.        ],[0.85391256 1.         0.81649658 0.625      1.        ]
[0.92307692 0.92307692 0.91666667 1.         0.91666667],[0.92307692 0.84615385 0.91666667 0.91666667 0.91666667],[0.92307692 0.84615385 0.91666667 1.         0.83333333],[0.92307692 0.92307692 0.91666667 1.         0.83333333],[0.92307692 0.92307692 0.91666667 0.91666667 0.91666667],[0.9375 0.9375 0.875  1.     0.875 ],[0.9375 0.8375 0.875  0.875  0.875 ],[0.9375 0.8375 0.875  1.     0.8125],[0.9375 0.9375 0.875  1.     0.8125],[0.9375 0.9375 0.875  0.875  0.875 ],[1.         1.         0.88888889 1.         0.88888889],[1.         0.875      0.88888889 0.88888889 0.88888889],[1.         0.875      0.88888889 1.         0.875     ],[1.         1.         0.88888889 1.         0.875     ],[1.         1.         0.88888889 0.88888889 0.88888889],[0.875 0.875 1.    1.    1.   ],[0.875 0.875 1.    1.    1.   ],[0.875 0.875 1.    1.    0.875],[0.875 0.875 1.    1.    0.875],[0.875 0.875 1.    1.    1.   ],[0.93333333 0.93333333 0.94117647 1.         0.94117647],[0.93333333 0.875      0.94117647 0.94117647 0.94117647],[0.93333333 0.875      0.94117647 1.         0.875     ],[0.93333333 0.93333333 0.94117647 1.         0.875     ],[0.93333333 0.93333333 0.94117647 0.94117647 0.94117647],[1.      1.      1.      1.      0.96875],[1.     0.95   1.     1.     0.9375],[0.9     0.925   0.96875 1.      0.9375 ],[1.      0.975   0.96875 1.      0.96875],[1.      1.      0.96875 1.      0.96875],[0.85391256 0.85391256 0.81649658 1.         0.81649658],[0.85391256 0.675      0.81649658 0.81649658 0.81649658],[0.85391256 0.675      0.81649658 1.         0.625     ],[0.85391256 0.85391256 0.81649658 1.         0.625     ],[0.85391256 0.85391256 0.81649658 0.81649658 0.81649658]
[0.76923077 0.92307692 0.91666667 0.75       1.        ],[0.76923077 0.84615385 0.91666667 0.83333333 1.        ],[0.84615385 0.92307692 0.83333333 0.91666667 0.91666667],[0.84615385 0.84615385 0.91666667 0.83333333 1.        ],[0.76923077 0.84615385 0.91666667 0.83333333 1.        ],[0.7375 0.9    0.875  0.8125 1.    ],[0.7375 0.8375 0.875  0.875  1.    ],[0.8375 0.9    0.75   0.9375 0.875 ],[0.8375 0.8    0.875  0.875  1.    ],[0.7375 0.8    0.875  0.875  1.    ],[0.77777778 0.88888889 0.88888889 1.         1.        ],[0.77777778 0.875      0.88888889 1.         1.        ],[0.875      0.88888889 0.8        1.         0.88888889],[0.875      0.8        0.88888889 1.         1.        ],[0.77777778 0.8        0.88888889 1.         1.        ],[0.875 1.    1.    0.625 1.   ],[0.875 0.875 1.    0.75  1.   ],[0.875 1.    1.    0.875 1.   ],[0.875 1.    1.    0.75  1.   ],[0.875 1.    1.    0.75  1.   ],[0.82352941 0.94117647 0.94117647 0.76923077 1.        ],[0.82352941 0.875      0.94117647 0.85714286 1.        ],[0.875      0.94117647 0.88888889 0.93333333 0.94117647],[0.875      0.88888889 0.94117647 0.85714286 1.        ],[0.82352941 0.88888889 0.94117647 0.85714286 1.        ],[0.9     0.975   0.96875 0.96875 1.     ],[0.925   0.95    0.96875 0.9375  1.     ],[0.95  0.925 1.    1.    1.   ],[0.925   1.      0.96875 1.      1.     ],[0.925   0.95    0.96875 1.      1.     ],[0.50069396 0.84327404 0.81649658 0.5976143  1.        ],[0.50069396 0.675      0.81649658 0.70710678 1.        ],[0.675      0.84327404 0.63245553 0.83666003 0.81649658],[0.675      0.69282032 0.81649658 0.70710678 1.        ],[0.50069396 0.69282032 0.81649658 0.70710678 1.        ]
