D12775_s_at,AMPD3
X81438_at,AMPH
D14686_at,AMT
D90097_at,AMYP1
M11567_rna1_at,ANG
D13628_at,ANGPT1
X16609_s_at,ANK1
Z26634_at,ANK2
U13616_at,ANK3
U43965_at,ANK3
X83703_at,ANKRD1
U28831_at,ANKRD36
U79297_at,ANKRD46
D78334_at,ANKRD7
D86982_at,ANKS1A
M97252_at,ANOS1
X60299_s_at,ANOS1
U73477_s_at,ANP32A
U70439_s_at,ANP32B
M22324_at,ANPEP
X05908_at,ANXA1
L19605_at,ANXA11
Z11502_at,ANXA13
D00017_at,ANXA2
D28364_at,ANXA2
L20591_at,ANXA3
M82809_at,ANXA4
U01691_s_at,ANXA5
Y00097_s_at,ANXA6
J04543_at,ANXA7
X16662_at,ANXA8
M62840_at,AOAH
U11862_s_at,AOC1
D88213_at,AOC2
U39447_at,AOC3
L11005_at,AOX1
L13939_s_at,AP1B1
M34175_at,AP2B1
D63475_at,AP2M1
X97074_at,AP2S1
U91931_at,AP3B1
U37673_at,AP3B2
U91930_at,AP3D1
D38293_at,AP3M2
U91932_at,AP3S1
X99459_at,AP3S2
L04953_at,APBA1
U79255_at,APBA2
L77864_at,APBB1
U62325_at,APBB2
M73548_at,APC
M74088_s_at,APC
D00097_s_at,APCS
D13370_at,APEX1
U03642_at,APLNR
U48437_at,APLP1
L09209_s_at,APLP2
X01038_rna1_s_at,APOA1
X04898_rna1_at,APOA2
J02758_s_at,APOA4
M19828_s_at,APOB
L26234_at,APOBEC1
U03891_at,APOBEC3B
M20902_at,APOC1
X01388_at,APOC3
U32576_rna1_at,APOC4
M10612_at,APOC4-APOC2
J02611_at,APOD
M12529_at,APOE
L27050_at,APOF
X53595_s_at,APOH
Y00264_at,APP
D86981_at,APPBP2
Y00486_rna1_at,APRT
U41518_at,AQP1
M77829_s_at,AQP1
D31846_at,AQP2
AB001325_at,AQP3
D63412_at,AQP4
U34844_at,AQP4
U46569_at,AQP5
U48408_at,AQP6
AB006190_at,AQP7
M35851_s_at,AR
M23263_at,AR
M13829_s_at,ARAF
U01337_at,ARAF
D87468_at,ARC
X81198_at,ARCN1
M30703_s_at,AREG
AB002315_at,AREL1
M84332_at,ARF1
M74491_at,ARF3
M36341_at,ARF4
M57567_at,ARF5
M57763_at,ARF6
U52521_at,ARFIP1
U52522_at,ARFIP2
X91504_at,ARFRP1
X12662_rna1_at,ARG1
U82256_at,ARG2
U02570_at,ARHGAP1
D13638_s_at,ARHGAP11A
U79256_at,ARHGAP19
U90908_at,ARHGAP22
D29642_at,ARHGAP25
U28386_at,ARHGAP27P1-BPTFP1-KPNA2P3
M73077_at,ARHGAP35
X78817_at,ARHGAP4
X77588_s_at,ARHGAP4
D86976_at,ARHGAP45
U17032_at,ARHGAP5
X69550_at,ARHGDIA
L20688_at,ARHGDIB
X89399_s_at,ARHGDIB
U82532_at,ARHGDIG
U64105_at,ARHGEF1
AB002380_at,ARHGEF12
D89016_at,ARHGEF16
U72206_at,ARHGEF2
U02082_at,ARHGEF5
D25304_at,ARHGEF6
D13631_s_at,ARHGEF6
D63476_at,ARHGEF7
U88047_at,ARID3A
S66427_at,ARID4A
S57153_s_at,ARID4A
D38491_at,ARID4B
M62324_at,ARID5A
L28997_at,ARL1
U07151_at,ARL3
U73960_at,ARL4A
L38490_s_at,ARL4D
D31885_at,ARL6IP1
L20773_at,ARMCX6
M69238_at,ARNT
Y08999_at,ARPC1A
AF006084_at,ARPC1B
U50523_at,ARPC2
AF006087_at,ARPC4-TTLL3
S66793_at,ARR3
X52151_at,ARSA
M32373_at,ARSB
X83572_at,ARSD
X83573_at,ARSL
S74683_at,ART1
U47054_at,ART3
X95826_at,ART4
U51269_at,ARVCF
U70063_at,ASAH1
L08424_at,ASCL1
M10058_at,ASGR1
M11025_s_at,ASGR2
U78180_at,ASIC1
U57352_at,ASIC2
U12775_at,ASIP
M14218_at,ASL
U11090_at,ASMT
M27396_s_at,ASNS
S67156_at,ASPA
S83325_s_at,ASPH
X01630_at,ASS1
X55544_at,ATF1
X15875_at,ATF2
L19871_at,ATF3
D90209_at,ATF4
AF005887_at,ATF6
U52700_at,ATF6B
U31903_s_at,ATF6B
X52943_at,ATF7
D82348_at,ATIC
U33841_at,ATM
U67092_at,ATM
U67092_s_at,ATM
X91196_s_at,ATM
L10377_s_at,ATN1
D31840_s_at,ATN1
U70660_at,ATOX1
L42563_at,ATP12A
Z24724_at,ATP13A3
X04297_at,ATP1A1
J05096_rna1_at,ATP1A2
M37457_s_at,ATP1A3
U16799_s_at,ATP1B1
M81181_s_at,ATP1B2
U51478_at,ATP1B3
U96781_cds1_at,ATP2A1
M23114_at,ATP2A2
Z69881_at,ATP2A3
J04027_at,ATP2B1
X63575_s_at,ATP2B2
U57971_s_at,ATP2B3
M83363_at,ATP2B4
M63962_rna1_at,ATP4A
M75110_at,ATP4B
D14710_at,ATP5F1A
M19483_at,ATP5F1B
D16562_at,ATP5F1C
X63422_at,ATP5F1D
D13118_at,ATP5MC1
X69908_rna1_at,ATP5MC2
U09813_at,ATP5MC3
D28383_at,ATP5PB
X60221_at,ATP5PB
M37104_at,ATP5PF
X83218_at,ATP5PO
S77356_at,ATP5PO
D16469_at,ATP6AP1
Z71460_at,ATP6V0A1
U17977_at,ATP6V0A1
D89052_at,ATP6V0B
M62762_at,ATP6V0C
X71490_at,ATP6V0D1
L09235_at,ATP6V1A
L35249_s_at,ATP6V1B2
J05682_at,ATP6V1C1
X76228_at,ATP6V1E1
D49400_at,ATP6V1F
L06133_at,ATP7A
Z94753_s_at,ATP7A
U49844_at,ATR
L34363_s_at,ATRX
U72935_cds3_s_at,ATRX
U09820_s_at,ATRX
U72936_s_at,ATRX
X79204_at,ATXN1
Z93784_at,ATXN10
U70323_at,ATXN2
U70671_at,ATXN2L
S75313_at,ATXN3
U63332_at,ATXN3
X79888_at,AUH
D87682_at,AVL9
X62891_s_at,AVP
U19906_at,AVPR1A
D31833_s_at,AVPR1B
L37112_at,AVPR1B
L22206_at,AVPR2
AF009674_at,AXIN1
M76125_s_at,AXL
X59766_at,AZGP1
X76040_at,AZIN1
M96326_rna1_at,AZU1
J00105_s_at,B2M
U79265_at,B3GNTL1
M83651_at,B4GALNT1
D29805_at,B4GALT1
U10473_s_at,B4GALT1
X14085_s_at,B4GALT1
L34081_at,BAAT
L38616_at,BABAM2
U66879_at,BAD
Z35491_at,BAG1
M33521_at,BAG6
U19180_at,BAGE
U16812_s_at,BAK1P1
U16811_s_at,BAK1P1
X84213_s_at,BAK1P1
U23070_at,BAMBI
D87462_at,BAP1
U76638_at,BARD1
U15460_at,BATF
U82987_at,BBC3
U87408_at,BBS9
X80026_at,BCAM
X83425_at,BCAM
X81817_at,BCAP31
U21551_at,BCAT1
U62739_at,BCAT2
M16474_s_at,BCHE
Z14093_at,BCKDHA
U50708_at,BCKDHB
M14745_at,BCL2
M13994_s_at,BCL2
U29680_at,BCL2A1
Z23115_at,BCL2L1
D87461_at,BCL2L2
U05681_s_at,BCL3
U00115_at,BCL6
Z79581_at,BCL6
X89984_at,BCL7A
X89985_at,BCL7B
Y13620_at,BCL9
D79986_at,BCLAF1
X02596_at,BCR
X14675_at,BCR
M93107_at,BDH1
U48231_at,BDKRB1
X86163_at,BDKRB2
M61176_at,BDNF
L38932_at,BECN1
AF007551_at,BET1
U12622_at,BFSP1
J04599_at,BGN
U50929_at,BHMT
D87077_at,BICRAL
X89986_s_at,BIK
U68485_at,BIN1
U37547_at,BIRC2
U37546_s_at,BIRC3
U45878_s_at,BIRC3
L32866_at,BIRC5
X69978_at,BIVM-ERCC5
S76617_at,BLK
U39817_at,BLM
X92106_at,BLMH
S82447_s_at,BLOC1S1
D43947_at,BLTP2
U34877_at,BLVRA
D26308_at,BLVRB
U79751_at,BLZF1
U60415_at,BMAL1
AB000816_s_at,BMAL1
U95740_rna2_at,BMERB1
L13689_at,BMI1
U50330_at,BMP1
M22489_at,BMP2
M22490_at,BMP4
M60314_at,BMP5
S81957_at,BMP5
M60315_at,BMP6
X51801_at,BMP7
M97016_s_at,BMP8A
Z22535_at,BMPR1AP2
U89326_at,BMPR1B
Z48923_at,BMPR2
D80009_at,BMS1
X83107_at,BMX
L03427_at,BNC1
U15172_at,BNIP1
U15173_at,BNIP2
U15174_at,BNIP3P1
X63380_at,BORCS8-MEF2B
X04327_at,BPGM
X81372_at,BPHL
J04739_at,BPI
U05237_at,BPTFP1
M95712_at,BRAF
L78833_cds1_at,BRCA1
U64805_s_at,BRCA1
X95152_rna1_at,BRCA2
X64643_at,BRCC3
S78771_s_at,BRD2
D42040_s_at,BRD2
Z84497_s_at,BRD2
X62083_s_at,BRD2
D26362_at,BRD3
X87613_at,BRD8
U75276_s_at,BRF1
L17327_at,BRME1
M91585_at,BRPF1
X76498_at,BRS3
X64364_at,BSG
D21878_at,BST1
D28137_at,BST2
S55606_at,BTC
U03274_at,BTD
M90354_at,BTF3P11
M90356_f_at,BTF3P13
X61123_at,BTG1
U72649_at,BTG2
Y09943_s_at,BTG2
D64110_at,BTG3
U78027_rna4_at,BTK
U39576_at,BTN1A1
U90543_at,BTN2A1
U90543_s_at,BTN2A1
U90550_at,BTN2A2
U90552_at,BTN3A1
Y07827_s_at,BTN3A1
U97502_rna1_at,BTN3A2
U90552_s_at,BTN3A2
U90546_at,BTN3A2
U90546_r_at,BTN3A2
U11861_at,BUD31
L36720_at,BYSL
D13630_at,BZW1
U51678_at,C11orf58
X95592_at,C1DP1
K03430_at,C1QB
M69039_at,C1QBP
M14058_at,C1R
J04080_at,C1S
L09708_at,C2
K02765_at,C3
U28488_s_at,C3AR1
M59815_at,C4B
M62486_at,C4BPA
L11244_s_at,C4BPB
M65134_s_at,C5
M62505_at,C5AR1
X72177_rna1_at,C6
J03507_at,C7
U08006_s_at,C8A
M16973_at,C8B
U08198_rna1_at,C8G
K02766_at,C9
X02176_s_at,C9
M33987_at,CA1
Y00339_s_at,CA2
M29458_at,CA3
L10955_cds1_s_at,CA4
L19297_at,CA5A
M57892_at,CA6
M76424_at,CA7
L04656_at,CA8
X66839_at,CA9
U79667_s_at,CACNA1A
X99897_s_at,CACNA1A
M94172_s_at,CACNA1B
Z26256_at,CACNA1C
L04569_at,CACNA1C
M92269_f_at,CACNA1C
Z34822_f_at,CACNA1C
M76558_at,CACNA1D
L33798_at,CACNA1S
M76559_at,CACNA2D1
M92303_at,CACNB1
S60415_at,CACNB2
U95019_s_at,CACNB2
U07139_at,CACNB3
L27584_s_at,CACNB3
U95020_at,CACNB4
L07738_at,CACNG1
D78586_at,CAD
U36448_at,CADPS
X06661_at,CALB1
M19878_at,CALB1
M19878_s_at,CALB1
X56667_at,CALB2
X15943_at,CALCA
X02404_at,CALCB
U22897_at,CALCOCO2
X69920_s_at,CALCR
L76380_at,CALCRL
M83216_s_at,CALD1
M19311_s_at,CALM2
J04046_s_at,CALM3
M58026_at,CALML3
X13461_s_at,CALML3
M84739_at,CALR
L41816_at,CAMK1
U50361_s_at,CAMK2D
U73738_at,CAMK2D
L07044_at,CAMK2G
U50360_s_at,CAMK2G
D30742_at,CAMK4
U18242_at,CAMLG
Z38026_at,CAMP
L10284_at,CANX
L12168_at,CAP1
M94345_at,CAPG
X04366_at,CAPN1
M23254_at,CAPN2
X04106_at,CAPNS1
Z48042_at,CAPRIN1
